"imageUrl","nameProduct","category","price","description","colors"
"botreem1.jpg","Bộ thời trang cho bé","Bộ bé sơ sinh","109000","Bộ quần áo sơ sinh chất liệu 100% cotton organic, mềm mịn, không gây kích ứng da. Phù hợp cho bé từ 0-12 tháng.","Hồng:#bf7a71"
"botreem1-1.jpg","Bộ thời trang cho bé","Bộ bé sơ sinh","109000","Bộ quần áo sơ sinh chất liệu 100% cotton organic, mềm mịn, không gây kích ứng da. Phù hợp cho bé từ 0-12 tháng.","Tím:#c9bccd"
"khunglong-blue.jpg","Bộ khủng long bé trai","Bộ bé trai","139000","Bộ quần áo họa tiết khủng long ngộ nghĩnh, chất liệu cotton thoáng mát. Thiết kế năng động cho bé trai từ 2-7 tuổi.","Xanh dương:#0187fd"
"khunglong-green.jpg","Bộ khủng long bé trai","Bộ bé trai","139000","Bộ quần áo họa tiết khủng long ngộ nghĩnh, chất liệu cotton thoáng mát. Thiết kế năng động cho bé trai từ 2-7 tuổi.","Xanh lục:#009f73"
"khunglong-orange.jpg","Bộ khủng long bé trai","Bộ bé trai","139000","Bộ quần áo họa tiết khủng long ngộ nghĩnh, chất liệu cotton thoáng mát. Thiết kế năng động cho bé trai từ 2-7 tuổi.","Cam:#fc391b"
"khunglong-red.jpg","Bộ khủng long bé trai","Bộ bé trai","139000","Bộ quần áo họa tiết khủng long ngộ nghĩnh, chất liệu cotton thoáng mát. Thiết kế năng động cho bé trai từ 2-7 tuổi.","Đỏ:#ce0000"
"khunglong-yellow.jpg","Bộ khủng long bé trai","Bộ bé trai","139000","Bộ quần áo họa tiết khủng long ngộ nghĩnh, chất liệu cotton thoáng mát. Thiết kế năng động cho bé trai từ 2-7 tuổi.","Vàng:#febc1d"
"mau1-0.jpg","Bộ Cộc Baby Three Cho Bé Gái","Bộ bé gái","129000","Bộ quần áo mùa hè thoáng mát với họa tiết dễ thương. Chất liệu cotton mềm mại, thấm hút mồ hôi tốt cho bé gái.","Cam:#faa9a6"
"mau1-1.jpg","Bộ Cộc Baby Three Cho Bé Gái","Bộ bé gái","129000","Bộ quần áo mùa hè thoáng mát với họa tiết dễ thương. Chất liệu cotton mềm mại, thấm hút mồ hôi tốt cho bé gái.","Hồng:#e91f83"
"mau2-0.jpg","Bộ Cộc Baby Three Cho Bé Gái mẫu 2","Bộ bé gái","129000","Bộ quần áo cộc tay phong cách thời trang, chất liệu cao cấp, thoáng khí. Thiết kế dễ thương cho bé gái từ 1-6 tuổi.","Tím:#b586d6"
"mau2-1.jpg","Bộ Cộc Baby Three Cho Bé Gái mẫu 2","Bộ bé gái","129000","Bộ quần áo cộc tay phong cách thời trang, chất liệu cao cấp, thoáng khí. Thiết kế dễ thương cho bé gái từ 1-6 tuổi.","Hồng:#fe9fd4"
"mau2-2.jpg","Bộ Cộc Baby Three Cho Bé Gái mẫu 2","Bộ bé gái","129000","Bộ quần áo cộc tay phong cách thời trang, chất liệu cao cấp, thoáng khí. Thiết kế dễ thương cho bé gái từ 1-6 tuổi.","Nâu:#8d5a3b"
"mau3-0.jpg","Bộ Cộc Baby Three Cho Bé Gái mẫu 3","Bộ bé gái","129000","Bộ quần áo mùa hè với thiết kế thời trang, chất liệu cotton mềm mại, co giãn tốt. Phù hợp cho bé gái từ 1-7 tuổi.","Tím:#b586d6"
"mau3-1.jpg","Bộ Cộc Baby Three Cho Bé Gái mẫu 3","Bộ bé gái","129000","Bộ quần áo mùa hè với thiết kế thời trang, chất liệu cotton mềm mại, co giãn tốt. Phù hợp cho bé gái từ 1-7 tuổi.","Hồng:#f38d98"
"mau3-2.jpg","Bộ Cộc Baby Three Cho Bé Gái mẫu 3","Bộ bé gái","129000","Bộ quần áo mùa hè với thiết kế thời trang, chất liệu cotton mềm mại, co giãn tốt. Phù hợp cho bé gái từ 1-7 tuổi.","Hồng:#f490c2"
"mau3-3.jpg","Bộ Cộc Baby Three Cho Bé Gái mẫu 3","Bộ bé gái","129000","Bộ quần áo mùa hè với thiết kế thời trang, chất liệu cotton mềm mại, co giãn tốt. Phù hợp cho bé gái từ 1-7 tuổi.","Cam:#fc7a62"
"mau4-0.jpg","Bộ Cộc Labubu Cho Bé Trai","Bộ bé trai","129000","Bộ quần áo họa tiết Labubu dễ thương, chất liệu thun mềm mại, thoáng khí. Thiết kế năng động cho bé trai từ 1-7 tuổi.","Cam:#fc391b"
"mau4-1.jpg","Bộ Cộc Labubu Cho Bé Trai","Bộ bé trai","129000","Bộ quần áo họa tiết Labubu dễ thương, chất liệu thun mềm mại, thoáng khí. Thiết kế năng động cho bé trai từ 1-7 tuổi.","Đỏ:#ce0000"
"mau5-0.jpg","Bộ Cộc Người Nhện Cho Bé Trai","Bộ bé trai","129000","Bộ quần áo siêu nhân Người Nhện, chất liệu cotton thoáng mát. Thiết kế năng động, phù hợp cho bé trai từ 2-8 tuổi.
Size 1-7 từ 1 -10kg","Cam:#fc391b"
"mau5-1.jpg","Bộ Cộc Người Nhện Cho Bé Trai","Bộ bé trai","129000","Bộ quần áo siêu nhân Người Nhện, chất liệu cotton thoáng mát. Thiết kế năng động, phù hợp cho bé trai từ 2-8 tuổi.
Size 1-7 từ 1 -10kg","Vàng:#febc1d"
"1743950751759.jpg","Bộ cài khuy cho bé ","Bộ bé sơ sinh","60000","Bộ chất cốt tông mềm mịn mát cho bé 3 kg đến 10 kg","A:#f7fadb"
